span_id,text,scope.actor,scope.domain,scope.context,hazard,requirement,exceptions,conditions,is_testable,evidence_signals,evidence,rule_id
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0010,"plan sponsor by a health insurance issuer or HMO with respect to the group health plan, must
ensure that the plan documents restrict uses and disclosures of such information by the plan
sponsor consistent with the requirements of this subpart. (ii)
Except as prohibited by § 164.502(a)(5)(i), the group health plan, or a health insurance issuer or
HMO with respect to the group health plan, may disclose summary health information to the
plan sponsor, if the plan sponsor requests the summary health information for purposes of:
(A)
Obtaining premium bids from health plans for providing health insurance coverage under
the group health plan; or
(B)
Modifying, amending, or terminating the group health plan. (iii) The group health plan, or a health insurance issuer or HMO with respect to the group health
plan, may disclose to the plan sponsor information on whether the individual is participating in
the group health plan, or is enrolled in or has disenrolled from a health insurance issuer or HMO
offered by the plan. (2)
Implementation specifications: Requirements for plan documents.",org,null,regulated,Improper use or disclosure of protected health information,The org (plan sponsor) must ensure that plan documents restrict the uses and disclosures of protected health information by the plan sponsor.,null,null,TRUE,repo_check; attest_check,plan documents,1
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0011,"The plan documents of the group
health plan must be amended to incorporate provisions to:
(i)
Establish the permitted and required uses and disclosures of such information by the plan
sponsor, provided that such permitted and required uses and disclosures may not be
inconsistent with this subpart. (ii)
Provide that the group health plan will disclose protected health information to the plan sponsor
only upon receipt of a certification by the plan sponsor that the plan documents have been
amended to incorporate the following provisions and that the plan sponsor agrees to:
(A)
Not use or further disclose the information other than as permitted or required by the plan
documents or as required by law;
(B)
Ensure that any agents to whom it provides protected health information received from the
group health plan agree to the same restrictions and conditions that apply to the plan
sponsor with respect to such information;
(C)
Not use or disclose the information for employment-related actions and decisions or in
connection with any other benefit or employee benefit plan of the plan sponsor;
(D)
Report to the group health plan any use or disclosure of the information that is
inconsistent with the uses or disclosures provided for of which it becomes aware;
(E)
Make available protected health information in accordance with § 164.524;
(F)
Make available protected health information for amendment and incorporate any
amendments to protected health information in accordance with § 164.526;
(G)
Make available the information required to provide an accounting of disclosures in
accordance with § 164.528;
(H) Make its internal practices, books, and records relating to the use and disclosure of
protected health information received from the group health plan available to the
Secretary for purposes of determining compliance by the group health plan with this
45 CFR Part 164 Subpart E (up to date as of 9/29/2025)
Privacy of Individually Identifiable Health Information
45 CFR 164.504(f)(1)(ii)",org,null,regulated,Improper PHI use by sponsor,The org (group health plan) must amend its plan documents to establish the permitted and required uses and disclosures of protected health information by the plan sponsor.,null,null,TRUE,repo_check; attest_check,plan documents,1
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0011,"The plan documents of the group
health plan must be amended to incorporate provisions to:
(i)
Establish the permitted and required uses and disclosures of such information by the plan
sponsor, provided that such permitted and required uses and disclosures may not be
inconsistent with this subpart. (ii)
Provide that the group health plan will disclose protected health information to the plan sponsor
only upon receipt of a certification by the plan sponsor that the plan documents have been
amended to incorporate the following provisions and that the plan sponsor agrees to:
(A)
Not use or further disclose the information other than as permitted or required by the plan
documents or as required by law;
(B)
Ensure that any agents to whom it provides protected health information received from the
group health plan agree to the same restrictions and conditions that apply to the plan
sponsor with respect to such information;
(C)
Not use or disclose the information for employment-related actions and decisions or in
connection with any other benefit or employee benefit plan of the plan sponsor;
(D)
Report to the group health plan any use or disclosure of the information that is
inconsistent with the uses or disclosures provided for of which it becomes aware;
(E)
Make available protected health information in accordance with § 164.524;
(F)
Make available protected health information for amendment and incorporate any
amendments to protected health information in accordance with § 164.526;
(G)
Make available the information required to provide an accounting of disclosures in
accordance with § 164.528;
(H) Make its internal practices, books, and records relating to the use and disclosure of
protected health information received from the group health plan available to the
Secretary for purposes of determining compliance by the group health plan with this
45 CFR Part 164 Subpart E (up to date as of 9/29/2025)
Privacy of Individually Identifiable Health Information
45 CFR 164.504(f)(1)(ii)",org,null,regulated,Unauthorized PHI disclosure,The org (group health plan) must only disclose protected health information to the plan sponsor upon receipt of a certification that the plan documents have been amended to incorporate required provisions.,null,before disclosing PHI to a plan sponsor,TRUE,attest_check; log_check,certification from plan sponsor,2
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0011,"The plan documents of the group
health plan must be amended to incorporate provisions to:
(i)
Establish the permitted and required uses and disclosures of such information by the plan
sponsor, provided that such permitted and required uses and disclosures may not be
inconsistent with this subpart. (ii)
Provide that the group health plan will disclose protected health information to the plan sponsor
only upon receipt of a certification by the plan sponsor that the plan documents have been
amended to incorporate the following provisions and that the plan sponsor agrees to:
(A)
Not use or further disclose the information other than as permitted or required by the plan
documents or as required by law;
(B)
Ensure that any agents to whom it provides protected health information received from the
group health plan agree to the same restrictions and conditions that apply to the plan
sponsor with respect to such information;
(C)
Not use or disclose the information for employment-related actions and decisions or in
connection with any other benefit or employee benefit plan of the plan sponsor;
(D)
Report to the group health plan any use or disclosure of the information that is
inconsistent with the uses or disclosures provided for of which it becomes aware;
(E)
Make available protected health information in accordance with § 164.524;
(F)
Make available protected health information for amendment and incorporate any
amendments to protected health information in accordance with § 164.526;
(G)
Make available the information required to provide an accounting of disclosures in
accordance with § 164.528;
(H) Make its internal practices, books, and records relating to the use and disclosure of
protected health information received from the group health plan available to the
Secretary for purposes of determining compliance by the group health plan with this
45 CFR Part 164 Subpart E (up to date as of 9/29/2025)
Privacy of Individually Identifiable Health Information
45 CFR 164.504(f)(1)(ii)",org,null,regulated,Unauthorized PHI disclosure,The org (plan sponsor) shall not use or further disclose protected health information.,as permitted or required by the plan documents; as required by law,handling PHI received from a group health plan,TRUE,log_check; access_check; attest_check,null,3
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0011,"The plan documents of the group
health plan must be amended to incorporate provisions to:
(i)
Establish the permitted and required uses and disclosures of such information by the plan
sponsor, provided that such permitted and required uses and disclosures may not be
inconsistent with this subpart. (ii)
Provide that the group health plan will disclose protected health information to the plan sponsor
only upon receipt of a certification by the plan sponsor that the plan documents have been
amended to incorporate the following provisions and that the plan sponsor agrees to:
(A)
Not use or further disclose the information other than as permitted or required by the plan
documents or as required by law;
(B)
Ensure that any agents to whom it provides protected health information received from the
group health plan agree to the same restrictions and conditions that apply to the plan
sponsor with respect to such information;
(C)
Not use or disclose the information for employment-related actions and decisions or in
connection with any other benefit or employee benefit plan of the plan sponsor;
(D)
Report to the group health plan any use or disclosure of the information that is
inconsistent with the uses or disclosures provided for of which it becomes aware;
(E)
Make available protected health information in accordance with § 164.524;
(F)
Make available protected health information for amendment and incorporate any
amendments to protected health information in accordance with § 164.526;
(G)
Make available the information required to provide an accounting of disclosures in
accordance with § 164.528;
(H) Make its internal practices, books, and records relating to the use and disclosure of
protected health information received from the group health plan available to the
Secretary for purposes of determining compliance by the group health plan with this
45 CFR Part 164 Subpart E (up to date as of 9/29/2025)
Privacy of Individually Identifiable Health Information
45 CFR 164.504(f)(1)(ii)",org,null,regulated,Unauthorized PHI disclosure by third party,The org (plan sponsor) must ensure that any agents to whom it provides protected health information agree to the same restrictions and conditions that apply to the plan sponsor.,null,when providing PHI received from the group health plan to any agents,TRUE,attest_check,null,4
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0011,"The plan documents of the group
health plan must be amended to incorporate provisions to:
(i)
Establish the permitted and required uses and disclosures of such information by the plan
sponsor, provided that such permitted and required uses and disclosures may not be
inconsistent with this subpart. (ii)
Provide that the group health plan will disclose protected health information to the plan sponsor
only upon receipt of a certification by the plan sponsor that the plan documents have been
amended to incorporate the following provisions and that the plan sponsor agrees to:
(A)
Not use or further disclose the information other than as permitted or required by the plan
documents or as required by law;
(B)
Ensure that any agents to whom it provides protected health information received from the
group health plan agree to the same restrictions and conditions that apply to the plan
sponsor with respect to such information;
(C)
Not use or disclose the information for employment-related actions and decisions or in
connection with any other benefit or employee benefit plan of the plan sponsor;
(D)
Report to the group health plan any use or disclosure of the information that is
inconsistent with the uses or disclosures provided for of which it becomes aware;
(E)
Make available protected health information in accordance with § 164.524;
(F)
Make available protected health information for amendment and incorporate any
amendments to protected health information in accordance with § 164.526;
(G)
Make available the information required to provide an accounting of disclosures in
accordance with § 164.528;
(H) Make its internal practices, books, and records relating to the use and disclosure of
protected health information received from the group health plan available to the
Secretary for purposes of determining compliance by the group health plan with this
45 CFR Part 164 Subpart E (up to date as of 9/29/2025)
Privacy of Individually Identifiable Health Information
45 CFR 164.504(f)(1)(ii)",org,null,regulated,Misuse of PHI for employment discrimination,The org (plan sponsor) shall not use or disclose protected health information for employment-related actions and decisions or in connection with any other benefit or employee benefit plan.,null,handling PHI received from a group health plan,TRUE,log_check; access_check; attest_check,null,5
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0011,"The plan documents of the group
health plan must be amended to incorporate provisions to:
(i)
Establish the permitted and required uses and disclosures of such information by the plan
sponsor, provided that such permitted and required uses and disclosures may not be
inconsistent with this subpart. (ii)
Provide that the group health plan will disclose protected health information to the plan sponsor
only upon receipt of a certification by the plan sponsor that the plan documents have been
amended to incorporate the following provisions and that the plan sponsor agrees to:
(A)
Not use or further disclose the information other than as permitted or required by the plan
documents or as required by law;
(B)
Ensure that any agents to whom it provides protected health information received from the
group health plan agree to the same restrictions and conditions that apply to the plan
sponsor with respect to such information;
(C)
Not use or disclose the information for employment-related actions and decisions or in
connection with any other benefit or employee benefit plan of the plan sponsor;
(D)
Report to the group health plan any use or disclosure of the information that is
inconsistent with the uses or disclosures provided for of which it becomes aware;
(E)
Make available protected health information in accordance with § 164.524;
(F)
Make available protected health information for amendment and incorporate any
amendments to protected health information in accordance with § 164.526;
(G)
Make available the information required to provide an accounting of disclosures in
accordance with § 164.528;
(H) Make its internal practices, books, and records relating to the use and disclosure of
protected health information received from the group health plan available to the
Secretary for purposes of determining compliance by the group health plan with this
45 CFR Part 164 Subpart E (up to date as of 9/29/2025)
Privacy of Individually Identifiable Health Information
45 CFR 164.504(f)(1)(ii)",org,null,regulated,Failure to report a data breach,The org (plan sponsor) must report to the group health plan any use or disclosure of protected health information that is inconsistent with the uses or disclosures provided for.,null,upon becoming aware of a use or disclosure inconsistent with permitted uses,TRUE,log_check; attest_check,inconsistency report,6
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0012,"(I)
If feasible, return or destroy all protected health information received from the group
health plan that the sponsor still maintains in any form and retain no copies of such
information when no longer needed for the purpose for which disclosure was made,
except that, if such return or destruction is not feasible, limit further uses and disclosures
to those purposes that make the return or destruction of the information infeasible; and
(J)
Ensure that the adequate separation required in paragraph (f)(2)(iii) of this section is
established. (iii) Provide for adequate separation between the group health plan and the plan sponsor. The plan
documents must:
(A)
Describe those employees or classes of employees or other persons under the control of
the plan sponsor to be given access to the protected health information to be disclosed,
provided that any employee or person who receives protected health information relating
to payment under, health care operations of, or other matters pertaining to the group
health plan in the ordinary course of business must be included in such description;
(B)
Restrict the access to and use by such employees and other persons described in
paragraph (f)(2)(iii)(A) of this section to the plan administration functions that the plan
sponsor performs for the group health plan; and
(C)
Provide an effective mechanism for resolving any issues of noncompliance by persons
described in paragraph (f)(2)(iii)(A) of this section with the plan document provisions
required by this paragraph. (3)
Implementation specifications: Uses and disclosures.",org,null,regulated,unauthorized retention of PHI,The org must return or destroy all protected health information received from the group health plan and retain no copies of it when it is no longer needed for the purpose for which it was disclosed.,null,when PHI is no longer needed for the purpose for which disclosure was made,TRUE,data_check; log_check; attest_check,null,1
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0012,"(I)
If feasible, return or destroy all protected health information received from the group
health plan that the sponsor still maintains in any form and retain no copies of such
information when no longer needed for the purpose for which disclosure was made,
except that, if such return or destruction is not feasible, limit further uses and disclosures
to those purposes that make the return or destruction of the information infeasible; and
(J)
Ensure that the adequate separation required in paragraph (f)(2)(iii) of this section is
established. (iii) Provide for adequate separation between the group health plan and the plan sponsor. The plan
documents must:
(A)
Describe those employees or classes of employees or other persons under the control of
the plan sponsor to be given access to the protected health information to be disclosed,
provided that any employee or person who receives protected health information relating
to payment under, health care operations of, or other matters pertaining to the group
health plan in the ordinary course of business must be included in such description;
(B)
Restrict the access to and use by such employees and other persons described in
paragraph (f)(2)(iii)(A) of this section to the plan administration functions that the plan
sponsor performs for the group health plan; and
(C)
Provide an effective mechanism for resolving any issues of noncompliance by persons
described in paragraph (f)(2)(iii)(A) of this section with the plan document provisions
required by this paragraph. (3)
Implementation specifications: Uses and disclosures.",org,null,regulated,unauthorized use of retained PHI,The org must limit further uses and disclosures of protected health information to only those purposes that make its return or destruction infeasible.,null,if return or destruction of PHI is not feasible,TRUE,log_check; config_check; access_check,null,2
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0012,"(I)
If feasible, return or destroy all protected health information received from the group
health plan that the sponsor still maintains in any form and retain no copies of such
information when no longer needed for the purpose for which disclosure was made,
except that, if such return or destruction is not feasible, limit further uses and disclosures
to those purposes that make the return or destruction of the information infeasible; and
(J)
Ensure that the adequate separation required in paragraph (f)(2)(iii) of this section is
established. (iii) Provide for adequate separation between the group health plan and the plan sponsor. The plan
documents must:
(A)
Describe those employees or classes of employees or other persons under the control of
the plan sponsor to be given access to the protected health information to be disclosed,
provided that any employee or person who receives protected health information relating
to payment under, health care operations of, or other matters pertaining to the group
health plan in the ordinary course of business must be included in such description;
(B)
Restrict the access to and use by such employees and other persons described in
paragraph (f)(2)(iii)(A) of this section to the plan administration functions that the plan
sponsor performs for the group health plan; and
(C)
Provide an effective mechanism for resolving any issues of noncompliance by persons
described in paragraph (f)(2)(iii)(A) of this section with the plan document provisions
required by this paragraph. (3)
Implementation specifications: Uses and disclosures.",org,null,regulated,unauthorized PHI access due to insufficient separation,The org must ensure adequate separation is established between the group health plan and the plan sponsor.,null,null,TRUE,config_check; access_check; attest_check,plan documents,3
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0012,"(I)
If feasible, return or destroy all protected health information received from the group
health plan that the sponsor still maintains in any form and retain no copies of such
information when no longer needed for the purpose for which disclosure was made,
except that, if such return or destruction is not feasible, limit further uses and disclosures
to those purposes that make the return or destruction of the information infeasible; and
(J)
Ensure that the adequate separation required in paragraph (f)(2)(iii) of this section is
established. (iii) Provide for adequate separation between the group health plan and the plan sponsor. The plan
documents must:
(A)
Describe those employees or classes of employees or other persons under the control of
the plan sponsor to be given access to the protected health information to be disclosed,
provided that any employee or person who receives protected health information relating
to payment under, health care operations of, or other matters pertaining to the group
health plan in the ordinary course of business must be included in such description;
(B)
Restrict the access to and use by such employees and other persons described in
paragraph (f)(2)(iii)(A) of this section to the plan administration functions that the plan
sponsor performs for the group health plan; and
(C)
Provide an effective mechanism for resolving any issues of noncompliance by persons
described in paragraph (f)(2)(iii)(A) of this section with the plan document provisions
required by this paragraph. (3)
Implementation specifications: Uses and disclosures.",org,null,regulated,ambiguous access controls leading to unauthorized PHI access,The org must describe in plan documents which employees or classes of employees are given access to the protected health information to be disclosed.,null,null,TRUE,repo_check; attest_check,plan documents,4
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0012,"(I)
If feasible, return or destroy all protected health information received from the group
health plan that the sponsor still maintains in any form and retain no copies of such
information when no longer needed for the purpose for which disclosure was made,
except that, if such return or destruction is not feasible, limit further uses and disclosures
to those purposes that make the return or destruction of the information infeasible; and
(J)
Ensure that the adequate separation required in paragraph (f)(2)(iii) of this section is
established. (iii) Provide for adequate separation between the group health plan and the plan sponsor. The plan
documents must:
(A)
Describe those employees or classes of employees or other persons under the control of
the plan sponsor to be given access to the protected health information to be disclosed,
provided that any employee or person who receives protected health information relating
to payment under, health care operations of, or other matters pertaining to the group
health plan in the ordinary course of business must be included in such description;
(B)
Restrict the access to and use by such employees and other persons described in
paragraph (f)(2)(iii)(A) of this section to the plan administration functions that the plan
sponsor performs for the group health plan; and
(C)
Provide an effective mechanism for resolving any issues of noncompliance by persons
described in paragraph (f)(2)(iii)(A) of this section with the plan document provisions
required by this paragraph. (3)
Implementation specifications: Uses and disclosures.",org,null,regulated,use of PHI beyond authorized plan administration functions,The org must restrict access to and use of protected health information by authorized persons to only the plan administration functions that the sponsor performs for the group health plan.,null,null,TRUE,repo_check; access_check; config_check,plan documents,5
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0012,"(I)
If feasible, return or destroy all protected health information received from the group
health plan that the sponsor still maintains in any form and retain no copies of such
information when no longer needed for the purpose for which disclosure was made,
except that, if such return or destruction is not feasible, limit further uses and disclosures
to those purposes that make the return or destruction of the information infeasible; and
(J)
Ensure that the adequate separation required in paragraph (f)(2)(iii) of this section is
established. (iii) Provide for adequate separation between the group health plan and the plan sponsor. The plan
documents must:
(A)
Describe those employees or classes of employees or other persons under the control of
the plan sponsor to be given access to the protected health information to be disclosed,
provided that any employee or person who receives protected health information relating
to payment under, health care operations of, or other matters pertaining to the group
health plan in the ordinary course of business must be included in such description;
(B)
Restrict the access to and use by such employees and other persons described in
paragraph (f)(2)(iii)(A) of this section to the plan administration functions that the plan
sponsor performs for the group health plan; and
(C)
Provide an effective mechanism for resolving any issues of noncompliance by persons
described in paragraph (f)(2)(iii)(A) of this section with the plan document provisions
required by this paragraph. (3)
Implementation specifications: Uses and disclosures.",org,null,regulated,lack of recourse for PHI policy violations,The org must provide an effective mechanism in plan documents for resolving any issues of noncompliance with the required data handling provisions.,null,null,TRUE,repo_check; attest_check,plan documents,6
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0013,"A group health plan may:
(i)
Disclose protected health information to a plan sponsor to carry out plan administration
functions that the plan sponsor performs only consistent with the provisions of paragraph (f)(2)
of this section;
(ii)
Not permit a health insurance issuer or HMO with respect to the group health plan to disclose
protected health information to the plan sponsor except as permitted by this paragraph;
(iii) Not disclose and may not permit a health insurance issuer or HMO to disclose protected health
information to a plan sponsor as otherwise permitted by this paragraph unless a statement
required by § 164.520(b)(1)(iii)(C) is included in the appropriate notice; and
(iv) Not disclose protected health information to the plan sponsor for the purpose of employmentrelated actions or decisions or in connection with any other benefit or employee benefit plan of
the plan sponsor. (g)
Standard: Requirements for a covered entity with multiple covered functions. (1)
A covered entity that performs multiple covered functions that would make the entity any
combination of a health plan, a covered health care provider, and a health care clearinghouse, must
comply with the standards, requirements, and implementation specifications of this subpart, as
applicable to the health plan, health care provider, or health care clearinghouse covered functions
performed. (2)
A covered entity that performs multiple covered functions may use or disclose the protected health
45 CFR Part 164 Subpart E (up to date as of 9/29/2025)
Privacy of Individually Identifiable Health Information
45 CFR 164.504(f)(2)(ii)(I)",org,null,regulated,Misuse of PHI for employment discrimination,An org shall not disclose protected health information to a plan sponsor for employment-related actions or decisions or in connection with any other employee benefit plan.,null,for the purpose of employment-related actions or decisions; in connection with any other benefit or employee benefit plan of the plan sponsor,TRUE,log_check; config_check; attest_check,null,1
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0013,"A group health plan may:
(i)
Disclose protected health information to a plan sponsor to carry out plan administration
functions that the plan sponsor performs only consistent with the provisions of paragraph (f)(2)
of this section;
(ii)
Not permit a health insurance issuer or HMO with respect to the group health plan to disclose
protected health information to the plan sponsor except as permitted by this paragraph;
(iii) Not disclose and may not permit a health insurance issuer or HMO to disclose protected health
information to a plan sponsor as otherwise permitted by this paragraph unless a statement
required by § 164.520(b)(1)(iii)(C) is included in the appropriate notice; and
(iv) Not disclose protected health information to the plan sponsor for the purpose of employmentrelated actions or decisions or in connection with any other benefit or employee benefit plan of
the plan sponsor. (g)
Standard: Requirements for a covered entity with multiple covered functions. (1)
A covered entity that performs multiple covered functions that would make the entity any
combination of a health plan, a covered health care provider, and a health care clearinghouse, must
comply with the standards, requirements, and implementation specifications of this subpart, as
applicable to the health plan, health care provider, or health care clearinghouse covered functions
performed. (2)
A covered entity that performs multiple covered functions may use or disclose the protected health
45 CFR Part 164 Subpart E (up to date as of 9/29/2025)
Privacy of Individually Identifiable Health Information
45 CFR 164.504(f)(2)(ii)(I)",org,null,regulated,PHI disclosure for unauthorized purposes,An org must limit the disclosure of protected health information to a plan sponsor to only what is necessary for plan administration functions.,null,when disclosing PHI to a plan sponsor,TRUE,log_check; attest_check,null,2
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0013,"A group health plan may:
(i)
Disclose protected health information to a plan sponsor to carry out plan administration
functions that the plan sponsor performs only consistent with the provisions of paragraph (f)(2)
of this section;
(ii)
Not permit a health insurance issuer or HMO with respect to the group health plan to disclose
protected health information to the plan sponsor except as permitted by this paragraph;
(iii) Not disclose and may not permit a health insurance issuer or HMO to disclose protected health
information to a plan sponsor as otherwise permitted by this paragraph unless a statement
required by § 164.520(b)(1)(iii)(C) is included in the appropriate notice; and
(iv) Not disclose protected health information to the plan sponsor for the purpose of employmentrelated actions or decisions or in connection with any other benefit or employee benefit plan of
the plan sponsor. (g)
Standard: Requirements for a covered entity with multiple covered functions. (1)
A covered entity that performs multiple covered functions that would make the entity any
combination of a health plan, a covered health care provider, and a health care clearinghouse, must
comply with the standards, requirements, and implementation specifications of this subpart, as
applicable to the health plan, health care provider, or health care clearinghouse covered functions
performed. (2)
A covered entity that performs multiple covered functions may use or disclose the protected health
45 CFR Part 164 Subpart E (up to date as of 9/29/2025)
Privacy of Individually Identifiable Health Information
45 CFR 164.504(f)(2)(ii)(I)",org,null,regulated,Lack of user awareness of PHI disclosure,An org must ensure a statement required by § 164.520(b)(1)(iii)(C) is included in the appropriate notice before it or its health insurance issuer or HMO discloses protected health information to a plan sponsor.,null,before disclosing PHI to a plan sponsor,TRUE,attest_check; repo_check,appropriate notice,3
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-508-uses-and-disclosures-for-which-an-authorization-is-r/sent_0002,"(1)
A covered entity may obtain consent of the individual to use or disclose protected health information
to carry out treatment, payment, or health care operations. (2)
Consent, under paragraph (b) of this section, shall not be effective to permit a use or disclosure of
protected health information when an authorization, under § 164.508, is required or when another
condition must be met for such use or disclosure to be permissible under this subpart. (c)
Implementation specifications: Treatment, payment, or health care operations. (1)
A covered entity may use or disclose protected health information for its own treatment, payment, or
health care operations.",org,null,regulated,Unauthorized PHI disclosure,An org shall not use general consent to permit a use or disclosure of protected health information when a specific authorization is required.,null,when a specific authorization under § 164.508 is required,TRUE,attest_check; log_check,consent record; authorization record,1
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-508-uses-and-disclosures-for-which-an-authorization-is-r/sent_0004,"(a)
Standard: Authorizations for uses and disclosures —
(1)
Authorization required: General rule. Except as otherwise permitted or required by this subchapter, a
covered entity may not use or disclose protected health information without an authorization that is
valid under this section. When a covered entity obtains or receives a valid authorization for its use or
45 CFR Part 164 Subpart E (up to date as of 9/29/2025)
Privacy of Individually Identifiable Health Information
45 CFR 164.506",org,null,regulated,unauthorized PHI use,An org shall not use protected health information without a valid authorization.,as otherwise permitted or required by this subchapter,without a valid authorization,TRUE,log_check; attest_check,valid authorization record,1
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-508-uses-and-disclosures-for-which-an-authorization-is-r/sent_0005,"(2)
Authorization required: Psychotherapy notes. Notwithstanding any provision of this subpart, other
than the transition provisions in § 164.532, a covered entity must obtain an authorization for any use
or disclosure of psychotherapy notes, except:
(i)
To carry out the following treatment, payment, or health care operations:
(A)
Use by the originator of the psychotherapy notes for treatment;
(B)
Use or disclosure by the covered entity for its own training programs in which students,
trainees, or practitioners in mental health learn under supervision to practice or improve
their skills in group, joint, family, or individual counseling; or
(C)
Use or disclosure by the covered entity to defend itself in a legal action or other
proceeding brought by the individual; and
(ii)
A use or disclosure that is required by § 164.502(a)(2)(ii) or permitted by § 164.512(a); §
164.512(d) with respect to the oversight of the originator of the psychotherapy notes; §
164.512(g)(1); or § 164.512(j)(1)(i). (3)
Authorization required: Marketing. (i)
Notwithstanding any provision of this subpart, other than the transition provisions in § 164.532,
a covered entity must obtain an authorization for any use or disclosure of protected health
information for marketing, except if the communication is in the form of:
(A)
A face-to-face communication made by a covered entity to an individual; or
(B)
A promotional gift of nominal value provided by the covered entity.",org,null,regulated,unauthorized disclosure of psychotherapy notes,The org must obtain an authorization for any use or disclosure of psychotherapy notes.,for treatment by the originator; for the org's own training programs; to defend the org in a legal action; as required or permitted by §164.502(a)(2)(ii) or §164.512,use or disclosure of psychotherapy notes,TRUE,attest_check; log_check,authorization record,1
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-508-uses-and-disclosures-for-which-an-authorization-is-r/sent_0005,"(2)
Authorization required: Psychotherapy notes. Notwithstanding any provision of this subpart, other
than the transition provisions in § 164.532, a covered entity must obtain an authorization for any use
or disclosure of psychotherapy notes, except:
(i)
To carry out the following treatment, payment, or health care operations:
(A)
Use by the originator of the psychotherapy notes for treatment;
(B)
Use or disclosure by the covered entity for its own training programs in which students,
trainees, or practitioners in mental health learn under supervision to practice or improve
their skills in group, joint, family, or individual counseling; or
(C)
Use or disclosure by the covered entity to defend itself in a legal action or other
proceeding brought by the individual; and
(ii)
A use or disclosure that is required by § 164.502(a)(2)(ii) or permitted by § 164.512(a); §
164.512(d) with respect to the oversight of the originator of the psychotherapy notes; §
164.512(g)(1); or § 164.512(j)(1)(i). (3)
Authorization required: Marketing. (i)
Notwithstanding any provision of this subpart, other than the transition provisions in § 164.532,
a covered entity must obtain an authorization for any use or disclosure of protected health
information for marketing, except if the communication is in the form of:
(A)
A face-to-face communication made by a covered entity to an individual; or
(B)
A promotional gift of nominal value provided by the covered entity.",org,null,regulated,improper use of PHI for marketing,The org must obtain an authorization for any use or disclosure of protected health information for marketing.,for face-to-face communications; for promotional gifts of nominal value,use or disclosure of PHI for marketing,TRUE,attest_check; log_check,authorization record,2
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-508-uses-and-disclosures-for-which-an-authorization-is-r/sent_0006,"(ii)
If the marketing involves financial remuneration, as defined in paragraph (3) of the definition of
marketing at § 164.501, to the covered entity from a third party, the authorization must state
that such remuneration is involved. (4)
Authorization required: Sale of protected health information. (i)
Notwithstanding any provision of this subpart, other than the transition provisions in § 164.532,
a covered entity must obtain an authorization for any disclosure of protected health information
which is a sale of protected health information, as defined in § 164.501 of this subpart. (ii)
Such authorization must state that the disclosure will result in remuneration to the covered
entity.",org,null,regulated,undisclosed financial incentive for data use,The org must state in the authorization that financial remuneration is involved when marketing involves such remuneration from a third party.,null,marketing involves financial remuneration from a third party,TRUE,attest_check,authorization record,1
